lineage	count	cro_R	cro_r	cro_Rr	cro_S	cro_s	cro_Ss	ery_R	ery_r	ery_Rr	ery_S	ery_s	ery_Ss	pen_R	pen_r	pen_Rr	pen_S	pen_s	pen_Ss	sxt_R	sxt_r	sxt_Rr	sxt_S	sxt_s	sxt_Ss	tet_R	tet_r	tet_Rr	tet_S	tet_s	tet_Ss
1	52	0	0	0	33	19	52	2	0	2	49	1	50	16	0	16	36	0	36	15	0	15	37	0	37	1	0	1	32	19	51
2	48	0	0	0	32	16	48	1	0	1	46	1	47	3	0	3	45	0	45	3	0	3	44	1	45	0	0	0	22	26	48
3	25	2	2	4	10	11	21	22	0	22	3	0	3	24	0	24	1	0	1	13	0	13	12	0	12	10	10	20	3	2	5
4	21	0	0	0	11	10	21	1	0	1	19	1	20	6	0	6	15	0	15	0	0	0	20	1	21	0	0	0	13	8	21
5	15	6	0	6	6	3	9	4	0	4	10	1	11	10	0	10	4	1	5	10	0	10	4	1	5	0	0	0	7	8	15
6	28	1	0	1	20	7	27	7	0	7	20	1	21	19	0	19	8	1	9	7	0	7	20	1	21	1	0	1	9	18	27
7	10	0	0	0	8	2	10	0	0	0	10	0	10	1	0	1	9	0	9	0	0	0	10	0	10	0	0	0	2	8	10
8	98	4	2	6	62	30	92	13	0	13	83	2	85	48	1	49	49	0	49	14	1	15	82	1	83	1	0	1	47	50	97
9	56	3	1	4	35	17	52	3	0	3	51	2	53	8	0	8	48	0	48	8	0	8	46	2	48	0	0	0	29	27	56
10	26	4	0	4	15	7	22	5	0	5	21	0	21	4	0	4	22	0	22	9	0	9	17	0	17	0	0	0	10	16	26
11	46	46	0	46	0	0	0	7	0	7	38	1	39	46	0	46	0	0	0	7	0	7	39	0	39	1	3	4	18	24	42
12	10	0	0	0	5	5	10	2	2	4	6	0	6	1	0	1	7	2	9	0	0	0	8	2	10	0	0	0	6	4	10
13	19	5	4	9	6	4	10	12	0	12	7	0	7	16	0	16	3	0	3	0	0	0	19	0	19	1	0	1	14	4	18
14	12	11	0	11	1	0	1	11	0	11	1	0	1	12	0	12	0	0	0	11	0	11	1	0	1	0	0	0	9	3	12
15	25	24	1	25	0	0	0	24	0	24	1	0	1	25	0	25	0	0	0	24	0	24	1	0	1	14	10	24	1	0	1
16	125	13	2	15	77	33	110	16	0	16	109	0	109	35	0	35	90	0	90	14	0	14	111	0	111	9	4	13	65	47	112
