experiment	db	datetime	reads	kbps	kkmers	kmers_prop	pgs	pgs_pass	pg	alt_pg	bm	bm_serotype	bm_ST	cro_ssc	cro_pred	cro_bm	ery_ssc	ery_pred	ery_bm	pen_ssc	pen_pred	pen_bm	sxt_ssc	sxt_pred	sxt_bm	tet_ssc	tet_pred	tet_bm	flags
sp01_sparc_br1117	spneumoniae-sparc.k18	2017-06-07 08:57:17	470010	779898	125940	0.161	0.800	1	2	16	E4NSI	11D	62	1.000	S	S (0.016)	0.739	S	S (0.047)	0.759	S	S (0.016)	0.744	S	S (0.125)	1.000	S	s (NA)	[]
sp02_sparc_ch2017	spneumoniae-sparc.k18	2017-06-29 14:43:40	345538	771052	73653	0.096	0.886	1	15	16	1QJAP	19A	320	0.000	R	R (8)	0.209	R	R (4)	0.000	R	R (6)	0.220	R	R (3)	0.209	R	r (NA)	[]
sp03_phili_312	spneumoniae-sparc.k18	2017-09-08 14:17:04	295810	890803	27811	0.031	0.886	1	9	16	427937	627	23F	0.176	R	R (>2)	0.824	S	s (NA)	0.292	R	R (>4)	0.139	R	R (>4/76)	1.000	S	S (0.12)	[]
sp04_phili_3894	spneumoniae-sparc.k18	2017-09-21 15:00:52	101900	201693	24609	0.122	0.870	1	15	16	CHP0M	1451	19A	0.000	R	R (2)	0.305	R	R (>256)	0.000	R	R (4)	0.309	R	R (4)	0.305	R	r (NA)	[]
sp05_phili_100	spneumoniae-sparc.k18	2017-09-29 15:37:51	25065	39558	715	0.018	0.524	1	15	16	R34-3098	1941	19F	0.000	R	r (<=0.25)	0.454	R!	R (>0.50)	0.000	R	R (1.00)	0.500	R!	R (>2.00)	0.454	R!	R (>4.00)	[]
sp06_phili_2047	spneumoniae-sparc.k18	2017-10-06 15:27:31	217970	424509	35429	0.083	0.910	1	9	16	427937	23F	627	0.156	R	R (>2)	0.844	S	s (NA)	0.270	R	R (>4)	0.122	R	R (>4/76)	1.000	S	S (0.12)	[]
sp07_norwich_P28.filtered	spneumoniae-sparc.k18	2017-05-25 07:47:41	782	2160	17	0.008	0.412	0	16	7	P213M	180	3	0.967	S	S (0.016)	0.979	S	S (0.064)	0.730	S	S (0.016)	0.989	S	S (0.125)	0.730	S	s (NA)	[]
sp07_norwich_P28	spneumoniae-sparc.k18	2017-05-25 07:52:07	266371	748926	1455	0.002	0.090	0	1	9	R34-3021	10A	585	1.000	S	s (<=0.25)	0.926	S	S (<=0.06)	0.926	S	S (<=0.03)	0.926	S	S (<=0.25)	0.997	S	S (<=0.50)	[]
sp08_norwich_P03.filtered	spneumoniae-sparc.k18	2017-04-06 13:50:30	11734	14146	70	0.005	0.492	0	9	4	2AHBE	438	23A	0.831	S	S (0.023)	0.923	S	S (0.094)	0.552	S!	S (0.023)	0.732	S	S (0.125)	1.000	S	s (NA)	[]
sp08_norwich_P03	spneumoniae-sparc.k18	2017-04-07 08:50:38	463641	601584	5156	0.009	0.744	1	9	16	2AHBE	23A	438	0.865	S	S (0.023)	0.919	S	S (0.094)	0.563	S!	S (0.023)	0.877	S	S (0.125)	1.000	S	s (NA)	[]
sp09_norwich_P30.filtered	spneumoniae-sparc.k18	2017-05-25 07:49:44	22330	60864	772	0.013	0.528	1	16	12	R34-3084	3	180	0.716	S	s (<=0.25)	0.761	S	S (<=0.06)	0.716	S	S (<=0.03)	0.820	S	S (<=0.25)	0.761	S	S (<=0.50)	[]
sp09_norwich_P30	spneumoniae-sparc.k18	2017-05-25 07:49:26	419930	1138281	13374	0.012	0.452	0	16	12	LDD87	3	180	0.725	S	S (0.023)	0.734	S	S (0.064)	0.725	S	S (0.016)	0.853	S	S (0.19)	0.734	S	s (NA)	[]
sp10_norwich_P33.filtered	spneumoniae-sparc.k18	2017-05-27 10:18:52	23861	55793	2956	0.053	0.710	1	3	12	8QTW4	63	15A	0.754	S	S (0.094)	0.223	R	R (32)	0.206	R	R (0.25)	0.747	S	S (0.19)	0.229	R	r (NA)	[]
sp10_norwich_P33	spneumoniae-sparc.k18	2017-05-27 11:01:39	70792	164970	8568	0.052	0.712	1	3	12	8QTW4	15A	63	0.758	S	S (0.094)	0.209	R	R (32)	0.205	R	R (0.25)	0.758	S	S (0.19)	0.218	R	r (NA)	[]
sp11_norwich_P40.filtered	spneumoniae-sparc.k18	2017-05-27 09:10:07	19831	51924	7317	0.141	0.922	1	3	16	8QTW4	15A	63	0.764	S	S (0.094)	0.201	R	R (32)	0.210	R	R (0.25)	0.743	S	S (0.19)	0.222	R	r (NA)	[]
sp11_norwich_P40	spneumoniae-sparc.k18	2017-05-27 09:54:03	44226	115801	16349	0.141	0.926	1	3	16	8QTW4	63	15A	0.761	S	S (0.094)	0.201	R	R (32)	0.203	R	R (0.25)	0.749	S	S (0.19)	0.217	R	r (NA)	[]
sp12_norwich_P36.filtered	spneumoniae-sparc.k18	2017-05-27 08:00:58	18659	51099	9483	0.186	0.642	1	16	13	P213M	180	3	0.750	S	S (0.016)	0.889	S	S (0.064)	0.863	S	S (0.016)	0.943	S	S (0.125)	0.863	S	s (NA)	[]
sp12_norwich_P36	spneumoniae-sparc.k18	2017-05-27 11:28:29	38238	103519	17315	0.167	0.652	1	16	13	P213M	180	3	0.738	S	S (0.016)	0.876	S	S (0.064)	0.872	S	S (0.016)	0.942	S	S (0.125)	0.872	S	s (NA)	[]
